id,survey_line_id,answer,user_id
1,1,1,1
2,2,1,1
3,3,2,1
4,4,2,1
5,5,3,1
6,6,3,1
7,7,4,1
8,8,4,1
9,9,5,1
10,10,5,1
11,11,5,1
12,1,1,2
13,2,1,2
14,3,2,2
15,4,2,2
16,5,3,2
17,6,3,2
18,7,4,2
19,8,4,2
20,9,5,2
21,10,5,2
22,11,5,2
23,1,1,3
24,2,1,3
25,3,2,3
26,4,2,3
27,5,3,3
28,6,3,3
29,7,4,3
30,8,4,3
31,9,5,3
32,10,5,3
33,11,5,3
34,1,1,4
35,2,1,4
36,3,2,4
37,4,2,4
38,5,3,4
39,6,3,4
40,7,4,4
41,8,4,4
42,9,5,4
43,10,5,4
44,11,5,4
45,1,1,5
46,2,1,5
47,3,2,5
48,4,2,5
49,5,3,5
50,6,3,5
51,7,4,5
52,8,4,5
53,9,5,5
54,10,5,5
55,11,5,5
56,1,1,6
57,2,1,6
58,3,2,6
59,4,2,6
60,5,3,6
61,6,3,6
62,7,4,6
63,8,4,6
64,9,5,6
65,10,5,6
66,11,5,6
67,1,1,7
68,2,1,7
69,3,2,7
70,4,2,7
71,5,3,7
72,6,3,7
73,7,4,7
74,8,4,7
75,9,5,7
76,10,5,7
77,11,5,7
